Record ID,Record Type,Record Nature,Redirect,Name,Description,Classification System,Classification Code,Last Name,First Name,Name Suffix,Name Preferred,Attributes,Linked Data,Related Citations Count,Staff Notes,Record History,Created Date,Modified Date,Creator,Modifier
CBA000000332,Person,Active (RecordStatusExplanation ),,"Acker, Carol Jean",,Proper name,,,,,,,,1,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.277565+00:00,,  (IsisAdmin-SPW)
CBA000144046,Person,Active (RecordStatusExplanation ),,"Acker, C. J.",,Proper name,,,,,,,,3,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.352201+00:00,,  (IsisAdmin-SPW)
CBA000000338,Person,Redirect (RecordStatusExplanation ),CBA000000340,"Ackerknecht, E. H.",,Proper name,,,,,,,,0,,"Changed Inactive to Redirect in RecordStatus (2016.05.31).

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.474025+00:00,,  (IsisAdmin-SPW)
CBA000144049,Person,Active (RecordStatusExplanation ),,"Ackerknecht, E. H.",,Proper name,,,,,,,,26,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.419347+00:00,,  (IsisAdmin-SPW)
CBA000140976,Person,Active (RecordStatusExplanation ),,"Ackerknecht, Erwin H.",,Proper name,,,,,,,,40,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.564236+00:00,,  (IsisAdmin-SPW)
CBA000000339,Person,Redirect (RecordStatusExplanation ),CBA000000340,"Ackerknecht, Erwin H.",,Proper name,,,,,,"AttributeID ATT000199660 || AttributeStatus Active || AttributeType BirthToDeathDates || AttributeValue [[1906], [1988]] || AttributeFreeFormValue 1906-1988 || AttributeStart 1906 || AttributeEnd 1988 || AttributeDescription ",,0,,"Changed Inactive to Redirect in RecordStatus (2016.05.31).

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.519082+00:00,,  (IsisAdmin-SPW)
CBA000000340,Person,Active (RecordStatusExplanation ),,"Ackerknecht, Erwin Heinz",,Proper name,,,,,,AttributeID ATT000204606 || AttributeStatus Active || AttributeType BirthToDeathDates || AttributeValue [[1906]] || AttributeFreeFormValue 1906- || AttributeStart 1906 || AttributeEnd  || AttributeDescription ,LinkedData_ID LED525471332 || Status Active || Type DNB || URN http://d-nb.info/gnd/12024893X/about/html || ResourceName Deutsche Nationalbibliothek GND Authority file || URL ,31,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.624204+00:00,,  (IsisAdmin-SPW)
CBA000144050,Person,Active (RecordStatusExplanation ),,"Ackerman, E. B.",,Proper name,,,,,,,,12,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.668293+00:00,,  (IsisAdmin-SPW)
CBA000144051,Person,Active (RecordStatusExplanation ),,"Ackerman, Evelyn B.",,Proper name,,,,,,,,1,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.717282+00:00,,  (IsisAdmin-SPW)
CBA000000341,Person,Active (RecordStatusExplanation ),,"Ackerman, Evelyn Bernette",,Proper name,,,,,,,,5,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.788601+00:00,,  (IsisAdmin-SPW)
