Record ID,Record Type,Record Nature,Redirect,Name,Description,Classification System,Classification Code,Last Name,First Name,Name Suffix,Name Preferred,Attributes,Linked Data,Related Citations Count,Staff Notes,Record History,Created Date,Modified Date,Creator,Modifier
CBA000120596,Institution,Delete (RecordStatusExplanation ),CBA000119765,,,Proper name,,,,,,,,0,,"Changed Inactive to Redirect in RecordStatus (2016.05.31). RedirectTo field update to ""CBA000119765"" on 6/7/2015 11:11:41 PM"" by spw as part of the following update work: Add redirect based on OpenRefine work on Schools..
RecordStatus field update to ""Redirect"" on 6/7/2015 11:11:41 PM"" by spw as part of the following update work: Add redirect based on OpenRefine work on Schools..
RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Redirect"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:26.240755+00:00,,  (IsisAdmin-SPW)
CBA000140951,Person,Delete (RecordStatusExplanation ),,,,,,,,,,,,0,,"RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:25.544712+00:00,,  (IsisAdmin-SPW)
CBA000120487,Geographic Term,Delete (RecordStatusExplanation ),,,,,,,,,,,,1,,"RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8104. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 05/18/24 03:54:25 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:24.694992+00:00,,  (IsisAdmin-SPW)
CBA000120471,Geographic Term,Delete (RecordStatusExplanation ),,,,,,,,,,,,0,,"RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8104. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 05/18/24 03:54:25 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:25.286031+00:00,,  (IsisAdmin-SPW)
CBA000120345,Geographic Term,Delete (RecordStatusExplanation ),,,,,,,,,,,,1,,"RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8104. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 05/18/24 03:54:25 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:24.067990+00:00,,  (IsisAdmin-SPW)
CBA865184631,Person,Active (RecordStatusExplanation Active by default.),,,,Weldon Classification System (2002-present),,EMILIANO TRIZIO,,,Emiliano Trizio,,,1,,"Created from Zotero accession 740, performed at 2017-09-24 20:00:40.491076+00:00 by gamerobscura. Subsequently ingested by gamerobscura.

This record was changed as part of bulk change #5414. ""CBA Name"" was changed from ""Emiliano Trizio"" to """" by StephenPWeldon on 10/07/21 08:38:37 PM UTC.",2017-09-24 20:09:49.367925+00:00,2023-12-28 00:55:03.632433+00:00,,Stephen Weldon (StephenPWeldon)
CBA465846620,Person,Active (RecordStatusExplanation Active by default.),,,,Weldon Classification System (2002-present),,María Paz,,,María Paz,,,1,,"Created from Zotero accession 739, performed at 2017-09-24 19:23:31.272709+00:00 by gamerobscura. Subsequently ingested by gamerobscura.

This record was changed as part of bulk change #5414. ""CBA Name"" was changed from ""María Paz"" to """" by StephenPWeldon on 10/07/21 08:38:37 PM UTC.",2017-09-24 19:37:11.595880+00:00,2023-12-28 00:54:48.847511+00:00,,Stephen Weldon (StephenPWeldon)
CBA066169018,Person,Active (RecordStatusExplanation Active by default.),,,,Weldon Classification System (2002-present),,Daniel J. Sargent,,,Daniel J. Sargent,,,2,,"Created from Zotero accession 502, performed at 2017-06-08 14:46:51.490011+00:00 by gamerobscura. Subsequently ingested by gamerobscura.

This record was changed as part of bulk change #5414. ""CBA Name"" was changed from ""Daniel J. Sargent"" to """" by StephenPWeldon on 10/07/21 08:38:37 PM UTC.",2017-06-08 14:52:55.650703+00:00,2023-12-28 00:25:23.158783+00:00,,Stephen Weldon (StephenPWeldon)
CBA000144339,Person,Delete (RecordStatusExplanation ),,-----,,Proper name,,,,,,,,0,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Duplicate"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:26.489993+00:00,,  (IsisAdmin-SPW)
CBA000113700,Time Period,Active (RecordStatusExplanation ),,10th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,176,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:27.122639+00:00,,  (IsisAdmin-SPW)
CBA000113701,Time Period,Active (RecordStatusExplanation ),,11th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,157,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-09-10 01:13:36.037296+00:00,,Paul Vieth (paulkelleyvieth)
CBA573429614,Time Period,Delete (RecordStatusExplanation ),,1260s,,Weldon Classification System (2002-present),,,,,,,,0,,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Active"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.",2020-09-23 13:08:11.554139+00:00,2023-12-28 02:23:42.097242+00:00,Paul Vieth (paulkelleyvieth),Stephen Weldon (StephenPWeldon)
CBA780437950,Time Period,Delete (RecordStatusExplanation ),,1270s,,Weldon Classification System (2002-present),,,,,,,,0,,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Active"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.",2020-09-23 13:08:58.683606+00:00,2023-12-28 02:23:46.098257+00:00,Paul Vieth (paulkelleyvieth),Stephen Weldon (StephenPWeldon)
CBA000113702,Time Period,Active (RecordStatusExplanation ),,12th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,247,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:28.464578+00:00,,  (IsisAdmin-SPW)
CBA975319227,Event,Delete (RecordStatusExplanation Active by default.),,12th East Asian STS Network Conference,,Proper name,,,,,,,,1,,"Created from Zotero accession 841, performed at 2017-11-26 20:22:31.786903+00:00 by bseely. Subsequently ingested by bseely.",2017-11-26 23:20:00.626142+00:00,2023-12-28 00:59:30.463777+00:00,,Stephen Weldon (StephenPWeldon)
CBA586962701,Time Period,Delete (RecordStatusExplanation ),,1330s,,Weldon Classification System (2002-present),,,,,,,,0,,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Active"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.",2020-09-23 15:55:44.265830+00:00,2023-12-28 02:25:17.316554+00:00,Paul Vieth (paulkelleyvieth),Stephen Weldon (StephenPWeldon)
CBA000113703,Time Period,Active (RecordStatusExplanation ),,13th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,520,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-09-26 14:19:27.976272+00:00,,Rebecca Marcolina (rmarc)
CBA000113704,Time Period,Active (RecordStatusExplanation ),,14th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,644,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-16 02:22:17.617956+00:00,,Bruce Seely (bseely)
CBA000113705,Time Period,Active (RecordStatusExplanation ),,15th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,1167,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-16 02:26:01.617067+00:00,,Bruce Seely (bseely)
CBA453246675,Time Period,Delete (RecordStatusExplanation ),,1610s,,Weldon Classification System (2002-present),,,,,,,,0,,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Active"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.",2020-09-23 12:35:58.742175+00:00,2023-12-28 02:23:37.805672+00:00,Paul Vieth (paulkelleyvieth),Stephen Weldon (StephenPWeldon)
CBA222598841,Time Period,Delete (RecordStatusExplanation ),,1610s,,Weldon Classification System (2002-present),,,,,,,,0,,,2020-09-23 12:33:10.027896+00:00,2023-12-28 02:23:32.808330+00:00,Paul Vieth (paulkelleyvieth),Paul Vieth (paulkelleyvieth)
CBA000121240,Serial Publication,Active (RecordStatusExplanation ),,"1650--1850: Ideas, Aesthetics, and Inquiries in the Early Modern Era",,Proper name,,,,,,AttributeID ATT208691481 || AttributeStatus Active || AttributeType JournalAbbr || AttributeValue 1650-1850 || AttributeFreeFormValue  || AttributeStart  || AttributeEnd  || AttributeDescription ,,11,"{Metadata}{Type=""Isis Bibliography Journal List""}{Journal ID=""1187""}{Journal Abbreviation=""1650-1850""}{Alternative Titles=""""}{IsisCB Rank=""3 scan regularly""}{Type of journal=""History""}{Language=""English""}{ISSN=""1065-3112""}{URL=""""}{Pagination=""continuous""}{Publisher=""""}{Date=2015.03.04}{User= ""Weldon""}{/Metadata}","Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:34.290930+00:00,,  (IsisAdmin-SPW)
CBA000113706,Time Period,Active (RecordStatusExplanation ),,16th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,3895,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-15 17:07:42.958524+00:00,,Bruce Seely (bseely)
CBA000113707,Time Period,Active (RecordStatusExplanation ),,17th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,12824,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-15 17:16:54.953877+00:00,,Bruce Seely (bseely)
CBA000131165,Category Division,Delete (RecordStatusExplanation ),,17th century,,SWP,340,,,,,,,0,,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:57.337741+00:00,,  (IsisAdmin-SPW)
CBA639917011,Time Period,Delete (RecordStatusExplanation Active by default.),,17th century,,Weldon Classification System (2002-present),,,,,,,,0,,"Created from Zotero accession 1210, performed at 2018-07-05 15:45:52.451948+00:00 by bseely. Subsequently ingested by bseely.  Deleted as duplicate by bseely 2024-07-19",2018-07-05 18:43:14.244108+00:00,2024-07-19 18:41:12.752645+00:00,,Bruce Seely (bseely)
CBA438131656,Time Period,Active (RecordStatusExplanation Active by default.),,17th century,,Weldon Classification System (2002-present),,,,,,,,1,,"Created from Zotero accession 1097, performed at 2018-05-21 18:46:39.192458+00:00 by bseely. Subsequently ingested by bseely.",2018-05-24 02:43:12.131713+00:00,2023-12-28 00:40:39.853824+00:00,,S. P. Weldon (admin)
CBA899644952,Time Period,Delete (RecordStatusExplanation ),,1820s,,Weldon Classification System (2002-present),,,,,,,,0,,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Active"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.",2020-09-23 13:56:18.326678+00:00,2023-12-28 02:24:12.923145+00:00,Paul Vieth (paulkelleyvieth),Stephen Weldon (StephenPWeldon)
CBA240143744,Time Period,Delete (RecordStatusExplanation ),,1830s,,Weldon Classification System (2002-present),,,,,,,,0,,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Active"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.",2020-09-23 13:56:37.558265+00:00,2023-12-28 02:24:15.266867+00:00,Paul Vieth (paulkelleyvieth),Stephen Weldon (StephenPWeldon)
CBA000113708,Time Period,Active (RecordStatusExplanation ),,18th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,15230,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-15 16:56:21.874340+00:00,,Bruce Seely (bseely)
CBA000131224,Category Division,Delete (RecordStatusExplanation ),,18th century,,SWP,350,,,,,,,0,,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:57.842928+00:00,,  (IsisAdmin-SPW)
CBA741966191,Concept,Delete (RecordStatusExplanation Active by default.),,18th century,,Weldon Classification System (2002-present),,,,,,,,0,,"Created from Zotero accession 1095, performed at 2018-05-21 18:43:30.753910+00:00 by bseely. Subsequently ingested by bseely.

This record was changed as part of bulk change #8093. ""CBA ClassSystem"" was changed from ""Weldon Classification System (2002-present)"" to ""SHOT Thesaurus Terms"" by IsisAdmin-SPW on 05/17/24 11:20:18 PM UTC.",2018-05-21 20:27:10.682066+00:00,2024-05-17 23:29:28.961190+00:00,,  (IsisAdmin-SPW)
CBA324007004,Time Period,Delete (RecordStatusExplanation ),,1910s,,Weldon Classification System (2002-present),,,,,,,,0,,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Active"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.",2020-09-23 15:25:25.368549+00:00,2023-12-28 02:24:42.828309+00:00,Paul Vieth (paulkelleyvieth),Stephen Weldon (StephenPWeldon)
CBA105586479,Concept,Active (RecordStatusExplanation ),,1947 Agriculture Act,,Weldon Classification System (2002-present),,,,,,,LinkedData_ID LED201388412 || Status Active || Type Wikipedia || URN https://en.wikipedia.org/wiki/Agriculture_Act_1947 || ResourceName Wikipedia || URL ,1,,"This record was changed as part of bulk change #8093. ""CBA ClassSystem"" was changed from ""Weldon Classification System (2002-present)"" to ""SHOT Thesaurus Terms"" by IsisAdmin-SPW on 05/17/24 11:20:18 PM UTC.",2023-03-22 14:53:10.993169+00:00,2024-05-17 23:20:26.879952+00:00,Bruce Seely (bseely),  (IsisAdmin-SPW)
CBA455729085,Event,Active (RecordStatusExplanation ),,1973 Oil Crisis,,Weldon Classification System (2002-present),,,,,,,LinkedData_ID LED433341264 || Status Active || Type Wikipedia || URN https://en.wikipedia.org/wiki/1973_oil_crisis || ResourceName Wikipedia || URL ,3,,,2023-03-22 14:32:52.330579+00:00,2024-10-11 05:15:23.440972+00:00,Bruce Seely (bseely),Rebecca Marcolina (rmarc)
CBA000121241,Serial Publication,Active (RecordStatusExplanation ),,19: Interdisciplinary Studies in the Long Nineteenth Century,,Proper name,,,,,,AttributeID ATT227011232 || AttributeStatus Active || AttributeType JournalAbbr || AttributeValue Nineteen || AttributeFreeFormValue  || AttributeStart  || AttributeEnd  || AttributeDescription ,LinkedData_ID LED317362736 || Status Active || Type ISSN || URN 1755-1560 || ResourceName  || URL ,50,"{Metadata}{Type=""Isis Bibliography Journal List""}{Journal ID=""1221""}{Journal Abbreviation=""Nineteen""}{Alternative Titles=""""}{IsisCB Rank=""5 keep on list""}{Type of journal=""Area Studies""}{Language=""English""}{ISSN=""1755-1560""}{URL=""http://19.bbk.ac.uk/index.php/19/index""}{Pagination=""""}{Publisher=""""}{Date=2015.03.04}{User= ""Weldon""}{/Metadata}","Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:57:06.329075+00:00,,  (IsisAdmin-SPW)
CBA000113709,Time Period,Active (RecordStatusExplanation ),,19th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,35012,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-13 11:54:19.349753+00:00,,Francesco Luzzini (fraluz77)
CBA000131283,Category Division,Delete (RecordStatusExplanation ),,19th century,,SWP,360,,,,,,,0,"Including most works after about 1800 regardless of location, unless they are part of a non-Western knowledge tradition that is placed in Level 2, Class F, Cultural Influence.","This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:58:23.305946+00:00,,  (IsisAdmin-SPW)
CBA203793260,Time Period,Active (RecordStatusExplanation ),,1st century BC,,Weldon Classification System (2002-present),,,,,,,,3,,,2020-06-09 09:41:04.969525+00:00,2024-03-16 14:49:11.438121+00:00,Francesco Luzzini (fraluz77),Bruce Seely (bseely)
CBA000119183,Institution,Delete (RecordStatusExplanation ),,2,,,,,,,,,,2,MW from Neu: Institution name,"This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:58:23.791373+00:00,,  (IsisAdmin-SPW)
CBA407732309,Time Period,Active (RecordStatusExplanation Active by default.),,20th century,,Weldon Classification System (2002-present),,,,,,,,1,,"Created from Zotero accession 1099, performed at 2018-05-21 18:49:27.194307+00:00 by bseely. Subsequently ingested by bseely.",2018-05-25 00:41:27.160035+00:00,2024-10-15 19:57:39.736389+00:00,,Rebecca Marcolina (rmarc)
CBA000113710,Time Period,Active (RecordStatusExplanation ),,20th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,31135,"Use ""20th century, early"" and ""20th century, late"" if possible","Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-11 01:56:33.294912+00:00,,Rebecca Marcolina (rmarc)
CBA000131342,Category Division,Delete (RecordStatusExplanation ),,20th century,,SWP,370,,,,,,,0,"Including most works after about 1800 regardless of location, unless they are part of a non-Western knowledge tradition that is placed in Level 2, Class F, Cultural Influence.","This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:59:06.154186+00:00,,  (IsisAdmin-SPW)
CBA317081612,Time Period,Active (RecordStatusExplanation Active by default.),,20th century,,Weldon Classification System (2002-present),,,,,,,,5,,"Created from Zotero accession 842, performed at 2017-11-26 20:23:12.513532+00:00 by bseely. Subsequently ingested by bseely.",2017-11-27 01:34:34.605537+00:00,2023-12-28 01:01:05.760687+00:00,,Bruce Seely (bseely)
CBA000113711,Time Period,Active (RecordStatusExplanation ),,"20th century, early",Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,10241,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-11 05:09:12.546721+00:00,,Rebecca Marcolina (rmarc)
CBA000113712,Time Period,Active (RecordStatusExplanation ),,"20th century, late",Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,8032,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-15 19:57:55.044702+00:00,,Rebecca Marcolina (rmarc)
CBA000131401,Category Division,Active (RecordStatusExplanation ),,"20th century, late, and 21st century",Term used during the period 2002-present,Weldon Classification System (2002-present),375,,,,,,,0,"Including most works after about 1800 regardless of location, unless they are part of a non-Western knowledge tradition that is placed in Level 2, Class F, Cultural Influence.","Record marked as Inactive by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:59:27.295094+00:00,,  (IsisAdmin-SPW)
CBA000113713,Time Period,Active (RecordStatusExplanation ),,21st century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,7873,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-10-11 05:23:46.685385+00:00,,Rebecca Marcolina (rmarc)
CBA000131460,Category Division,Delete (RecordStatusExplanation ),,21st century,,SWP,380,,,,,,,1,"Including most works after about 1800 regardless of location, unless they are part of a non-Western knowledge tradition that is placed in Level 2, Class F, Cultural Influence.","This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:59:27.478682+00:00,,  (IsisAdmin-SPW)
